country,ico_start,ico_end,price_usd,success,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,ERC20
India,10/08/2020,31/12/2020,0.01,Y,0.5,1.00E+08,5.00E+08,Yes,1,1,"Pakistan, Turkey, Somalia, Sirya, Sudan",50 USD,Available,NA,NA,5.00E-03,"BTC, ETH, and Fiat currency",NA,https://www.linkedin.com/company/bitfinex-limited/,NA,NA,4,NA,1
Cyprus,01/08/2020,31/12/2020,0.1,N,0.6,NA,8.40E+07,No,1,0,USA,NA,Available,22/07/2019,31/10/2019,NA,"ETH, BTC",https://www.tycoon.io/whitepaper.pdf,https://www.linkedin.com/company/tycoonio/about/,https://www.github.com/tycoon?tab=repositories,https://www.tycoon.io?utm_source=icobench,4.8,14,1
UK,01/03/2019,31/12/2020,0.14,Y,0.5,NA,7.50E+07,No,0,1,"Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia, Ukraine, Estonia, Russian Federation and North Korea",100 USD,Available,15/12/2018,15/01/2019,NA,"ETH, BTC, LTC",https://mindsync.ai/docs/whitepaper.pdf,https://www.linkedin.com/company/mindsync/,NA,NA,4.5,14,1
UK,25/06/2020,31/01/2021,0.1,N,0.5,NA,5.00E+08,Yes,1,1,"Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia and North Korea, Yemen",0.10 USD,Available,NA,NA,0.1,"BTC, ETH, XRP, BNB, LTC, XLM, USDT, BCH, TRX, EOS",https://cdn.pointpay.io/WhitePaper__en.pdf?cache=1.4,https://www.linkedin.com/company/pointpay/about/,NA,NA,4.7,43,1
Seychelles,NA,NA,0.06,N,0.4,NA,4.00E+08,Yes,1,1,"USA, CANADA, CHINA, SOUTH KOREA, SEYCHELLES",1 ETH,Available,NA,NA,0.03,ETH,https://lohncontrol.com/down/LOHN-white-paper-4.3.pdf,https://www.linkedin.com/showcase/lohncontrol,https://www.github.com/lohn7?tab=repositories,https://lohncontrol.com?utm_source=icobench,4.4,16,1
Australia,30/07/2018,30/10/2018,0.12,N,423,NA,8.80E+07,Yes,1,0,"USA, China",NA,Available,NA,NA,NA,"ETH, BTC",https://emanate.live/pdf/mn8-whitepaper-v12.pdf,https://www.linkedin.com/company/emanate-live/,https://www.github.com/EmaNonete-official?tab=repositories,https://emanate.live/?utm_source=icobench,4.1,14,0
Czech Republic,01/08/2018,03/11/2018,0.1168962,N,0.75,NA,1.50E+08,No,1,1,"Afghanistan, Bangladesh, Bolivia, Bosnia and Herzegovina, Canada, Ecuador, Ethiopia, Guyana, Iran-Islamic Republic of, Iraq, North Korea, Lao People's Democratic Republic, Sri Lanka, Sudan, Syrian Arab Republic, Trinidad and Tobago, Tunisia, Uganda, USA, Vanuatu, Yemen",100 HASH,Available,NA,NA,NA,"ETH, BTC, DASH, LTC, XMR, ZEC",https://hashbon.com/info/whitepaper_eng.pdf,https://www.linkedin.com/company/hashbon/,https://www.github.com/hashbon?tab=repositories,https://hashbon.com/?utm_source=icobench,4.4,16,1
Russia,29/06/2018,NA,3.91E-02,N,0.12,NA,20240000,No,1,0,None,NA,Available,NA,NA,NA,"ETH, BTC",https://metahash.org/docs/MetaHash_WhitePaper_EN.pdf,NA,https://www.github.com/metahashorg?tab=repositories,https://metahash.org/?utm_source=icobench,4.3,11,1
Spain,NA,NA,NA,N,0.17,NA,4.00E+08,No,1,0,NA,10 EUR,Available,10/04/2019,NA,1 2GT = 0.05 EUR,"EUR, BTC, ETH",NA,TBD,None,https://www.2gether.global/?utm_source=icobench,4.4,30,1
Belize,01/01/2019,31/12/2020,0.01,N,587,NA,3.20E+08,No,0,1,NA,1 USD,Available,NA,NA,NA,"BTC, ETH, XMR",https://coinimp.com/coinimp-white-paper,https://www.linkedin.com/company/coinimp/,https://www.github.com/coinimp?tab=repositories,https://www.coinimp.com/tokensale?utm_source=icobench,4,25,0
USA,01/05/2018,31/12/2020,4.20E-03,N,0.34,NA,6.80E+10,No,0,1,"Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia and North Korea",NA,Available,NA,NA,NA,"ETH, BTC, Fiat",https://satt-token.com/files/ico_satt_en.pdf,https://www.linkedin.com/company/atayen-inc/,https://www.github.com/Atayen?tab=repositories,https://www.satt-token.com/?utm_source=icobench,4.5,15,1
Australia,01/09/2019,NA,0.1,N,0.4,NA,2.00E+08,Yes,1,1,"United States, Republic of China , North Korea , Afghanistan , Syria , Iraq",NA,Available,NA,NA,NA,"ETH, BTC, USD",NA,TBD,https://www.github.com/Serenity-Energy?tab=repositories,https://serenitysource.com.au/?utm_source=icobench,4.2,28,1
UK,15/11/2018,31/01/2019,2.892896,N,0.1,NA,5.00E+07,Yes,1,1,"USA, China, Bangaldesh, Pakistan, Russia",0.1 ETH,Available,NA,NA,NA,ETH,https://s3.eu-west-2.amazonaws.com/bips-moneybrain/documents/Moneybrain_BiPS_Whitepaper_v1.pdf,https://www.linkedin.com/company/moneybrain-bips/,https://www.github.com/MoneybrainBiPS?tab=repositories,https://bips.moneybrain.com/?utm_source=icobench,3.1,24,1
Denmark,NA,NA,0.04,N,0.28,NA,2.80E+08,No,1,0,"USA, North Korea",NA,Available,NA,NA,NA,ETH,https://hoard.exchange/files/hoard-whitepaper.pdf,TBD,https://www.github.com/hoardexchange?tab=repositories,http://hoard.exchange/index.html?utm_source=icobench,4.3,9,1
